time,open,high,low,close,tick_volume,avgPrice,gradient,signal_label,signal_with_time
1/7/2018,1320.79,1339.39,1308.25,1337.74,1145869,1329.265,,Neutral,Neutral (2018-01-07 00:00:00)
1/14/2018,1336.27,1344.76,1324.21,1331.61,1220963,1333.94,4.675,Bullish,Bullish (2018-01-14 00:00:00)
1/21/2018,1334.72,1366.08,1328.41,1350.24,1421705,1342.48,8.54,Bullish,Bullish (2018-01-21 00:00:00)
1/28/2018,1349.68,1352.41,1327.48,1332.85,1538868,1341.265,-1.215,Bearish,Bearish (2018-01-28 00:00:00)
2/4/2018,1331.56,1346.12,1307.08,1315.97,2226743,1323.765,-17.5,Bearish,Bearish (2018-02-04 00:00:00)
2/11/2018,1314.91,1361.76,1314.18,1347.65,1693106,1331.28,7.515,Bullish,Bullish (2018-02-11 00:00:00)
2/18/2018,1347.51,1351.4,1320.97,1328.89,1338297,1338.2,6.92,Bullish,Bullish (2018-02-18 00:00:00)
2/25/2018,1328.2,1341.06,1302.82,1322.4,1641798,1325.3,-12.9,Bearish,Bearish (2018-02-25 00:00:00)
3/4/2018,1323.58,1340.48,1312.83,1323.37,1656302,1323.475,-1.825,Bearish,Bearish (2018-03-04 00:00:00)
3/11/2018,1323.44,1330.04,1309.66,1313.77,1312635,1318.605,-4.87,Bearish,Bearish (2018-03-11 00:00:00)
3/18/2018,1313.34,1350.27,1307.22,1347.06,1538498,1330.2,11.595,Bullish,Bullish (2018-03-18 00:00:00)
3/25/2018,1347.08,1356.86,1321.21,1325.15,1156852,1336.115,5.915,Bullish,Bullish (2018-03-25 00:00:00)
4/1/2018,1325.5,1348.26,1319.79,1333.18,1585893,1329.34,-6.775,Bearish,Bearish (2018-04-01 00:00:00)
4/8/2018,1333.77,1365.29,1326.91,1345.33,1582204,1339.55,10.21,Bullish,Bullish (2018-04-08 00:00:00)
4/15/2018,1346.14,1355.7,1334.99,1335.49,1386209,1340.815,1.265,Bullish,Bullish (2018-04-15 00:00:00)
4/22/2018,1334.25,1335.51,1315.33,1323.36,1292967,1328.805,-12.01,Bearish,Bearish (2018-04-22 00:00:00)
4/29/2018,1322.3,1325.4,1301.76,1314.98,1307606,1318.64,-10.165,Bearish,Bearish (2018-04-29 00:00:00)
