time,open,high,low,close,tick_volume
2019-10-01,1471.9,1519.66,1459.1,1512.54,12747732
2019-11-01,1512.63,1516.2,1445.61,1463.91,9060699
2019-12-01,1464.2,1525.31,1453.97,1516.92,7296477
2020-01-01,1518.13,1611.39,1517.22,1588.79,11485315
2020-02-01,1593.17,1689.34,1547.5,1585.96,13234702
2020-03-01,1591.92,1703.34,1451.21,1576.2,14235369
2020-04-01,1575.07,1747.67,1567.14,1686.78,6903787
2020-05-01,1681.63,1765.32,1670.33,1728.9,3811822
2020-06-01,1735.06,1786.13,1670.73,1780.34,3995167
2020-07-01,1780.21,1982.93,1757.45,1975.18,4088097
2020-08-01,1978.49,2075.25,1862.6,1967.52,4941141
2020-09-01,1967.07,1992.42,1848.41,1885.42,4337124
2020-10-01,1885.26,1933.19,1859.94,1878.88,4365420
2020-11-01,1877.02,1965.52,1764.28,1776.72,3928867
2020-12-01,1776.7,1906.74,1775.74,1898.28,3094255
2021-01-01,1903.38,1959.34,1802.47,1848.1,3227472
2021-02-01,1863.04,1871.81,1717.21,1734.44,3669570
2021-03-01,1733.72,1759.83,1676.8,1707.38,4655876
2021-04-01,1707.42,1797.85,1705.75,1768.6,3420828
2021-05-01,1768.24,1912.74,1766.04,1905.76,3351649
2021-06-01,1907.53,1916.6,1750.65,1770.37,3320672
2021-07-01,1770.05,1834.18,1765.65,1813.83,4110047
2021-08-01,1813.97,1831.73,1680.45,1813.73,3337059
2021-09-01,1814.57,1833.97,1721.69,1757.0,3253141
2021-10-01,1756.42,1813.85,1745.89,1783.17,3251062
2021-11-01,1783.68,1877.14,1758.84,1774.81,3869212
2021-12-01,1775.22,1830.37,1752.4,1829.22,2910164
2022-01-01,1829.62,1853.85,1780.26,1797.29,3624936
2022-02-01,1797.5,1974.44,1788.63,1908.86,3817356
2022-03-01,1907.55,2070.57,1890.09,1937.12,4362459
2022-04-01,1937.06,1998.33,1872.02,1896.95,3373644
2022-05-01,1895.6,1909.75,1786.68,1837.4,3279658
2022-06-01,1836.94,1879.05,1802.73,1807.18,3238813
2022-07-01,1806.95,1814.29,1680.85,1766.02,3866535
2022-08-01,1765.43,1807.87,1709.61,1711.06,3210273
2022-09-01,1710.83,1735.16,1614.85,1660.88,2807602
2022-10-01,1662.11,1729.48,1617.21,1633.57,2382849
2022-11-01,1632.65,1786.6,1616.68,1768.45,2115881
2022-12-01,1768.14,1833.25,1765.86,1823.84,1906986
2023-01-01,1827.02,1949.13,1823.57,1928.1,2129238
2023-02-01,1928.07,1959.67,1804.75,1826.68,2224314
2023-03-01,1826.34,2009.77,1809.38,1970.78,3035160
2023-04-01,1972.17,2048.74,1949.74,1989.62,1900691
2023-05-01,1991.13,2077.67,1932.02,1962.59,2386641
2023-06-01,1962.28,1983.43,1892.98,1919.52,2028900
2023-07-01,1919.21,1987.45,1902.65,1965.41,1958921
2023-08-01,1965.3,1965.99,1884.79,1940.04,1914867
2023-09-01,1939.56,1952.93,1846.33,1848.57,1731549
2023-10-01,1847.91,2009.35,1810.44,1983.95,2761254
2023-11-01,1983.02,2051.97,1931.67,2036.06,2384245
2023-12-01,2036.56,2134.7,1973.05,2062.82,2122385
2024-01-01,2063.1,2078.89,2001.88,2039.19,2283279
2024-02-01,2039.87,2065.41,1984.23,2044.12,2322564
2024-03-01,2043.49,2236.22,2039.07,2232.78,3190127
2024-04-01,2239.56,2431.5,2228.5,2286.3,4917232
2024-05-01,2286.4,2450.11,2277.25,2327.34,2860971
2024-06-01,2328.63,2387.73,2286.75,2326.34,2246371
2024-07-01,2326.09,2483.69,2318.58,2447.24,2912360
2024-08-01,2448.27,2531.64,2364.2,2502.98,3339541
2024-09-01,2502.52,2685.57,2471.89,2634.66,2999377
2024-10-01,2634.39,2790.12,2601.76,2743.89,3399897
2024-11-01,2743.56,2762.22,2536.81,2650.4,3383931
2024-12-01,2651.96,2726.05,2583.1,2624.43,2609742
2025-01-01,2624.29,2817.23,2614.75,2798.68,2901331
2025-02-01,2794.16,2956.29,2772.17,2857.15,3236360
2025-03-01,2856.0,3127.89,2854.73,3124.06,3334475
2025-04-01,3123.08,3500.15,2956.18,3288.37,4698994
2025-05-01,3289.15,3438.16,3120.78,3289.34,4400244
2025-06-01,3298.84,3451.17,3245.88,3302.96,3674705
2025-07-01,3303.08,3377.54,3282.77,3349.91,1873321
