time,open,high,low,close,tick_volume,avgPrice,gradient,signal_label,signal_with_time
1/2/2018 0:00,1302.96,1307.68,1302.26,1306.2,17564,1304.58,,Neutral,Neutral (2018-01-02 00:00:00)
1/2/2018 4:00,1306.17,1307.66,1305.44,1307.43,15056,1306.8,2.22,Bullish,Bullish (2018-01-02 04:00:00)
1/2/2018 8:00,1307.41,1312.39,1307.39,1312.27,37378,1309.84,3.04,Bullish,Bullish (2018-01-02 08:00:00)
1/2/2018 12:00,1312.26,1314.42,1310.12,1313.95,41137,1313.105,3.265,Bullish,Bullish (2018-01-02 12:00:00)
1/2/2018 16:00,1313.95,1314.58,1310.88,1312.48,60982,1313.215,0.11,Bullish,Bullish (2018-01-02 16:00:00)
1/2/2018 20:00,1312.49,1318.92,1312.39,1317.38,28879,1314.935,1.72,Bullish,Bullish (2018-01-02 20:00:00)
1/3/2018 0:00,1317.48,1321.46,1316.9,1318.28,19415,1317.88,2.945,Bullish,Bullish (2018-01-03 00:00:00)
1/3/2018 4:00,1318.28,1318.41,1311.91,1314.66,24558,1316.47,-1.41,Bearish,Bearish (2018-01-03 04:00:00)
1/3/2018 8:00,1314.66,1315.46,1311.83,1314.68,29790,1314.67,-1.8,Bearish,Bearish (2018-01-03 08:00:00)
1/3/2018 12:00,1314.66,1317.54,1313.39,1316.43,37887,1315.545,0.875,Bullish,Bullish (2018-01-03 12:00:00)
1/3/2018 16:00,1316.43,1317.96,1314.79,1315.85,54135,1316.14,0.595,Bullish,Bullish (2018-01-03 16:00:00)
1/3/2018 20:00,1315.87,1317.28,1307.46,1313.1,37966,1314.485,-1.655,Bearish,Bearish (2018-01-03 20:00:00)
1/4/2018 0:00,1312.88,1313.61,1305.9,1307.17,23702,1310.025,-4.46,Bearish,Bearish (2018-01-04 00:00:00)
1/4/2018 4:00,1307.16,1310.28,1306.14,1310.12,17944,1308.64,-1.385,Bearish,Bearish (2018-01-04 04:00:00)
1/4/2018 8:00,1310.12,1314.34,1308.19,1313.77,32179,1311.945,3.305,Bullish,Bullish (2018-01-04 08:00:00)
1/4/2018 12:00,1313.75,1317.26,1309.23,1314.84,49445,1314.295,2.35,Bullish,Bullish (2018-01-04 12:00:00)
1/4/2018 16:00,1314.84,1320.08,1314.29,1319.71,57283,1317.275,2.98,Bullish,Bullish (2018-01-04 16:00:00)
1/4/2018 20:00,1319.72,1326.01,1318.24,1322.7,35740,1321.21,3.935,Bullish,Bullish (2018-01-04 20:00:00)
1/5/2018 0:00,1322.63,1323.45,1320.77,1322.01,15416,1322.32,1.11,Bullish,Bullish (2018-01-05 00:00:00)
1/5/2018 4:00,1322.01,1322.04,1319.94,1320.26,15472,1321.135,-1.185,Bearish,Bearish (2018-01-05 04:00:00)
1/5/2018 8:00,1320.27,1320.31,1316.62,1316.75,33168,1318.51,-2.625,Bearish,Bearish (2018-01-05 08:00:00)
1/5/2018 12:00,1316.72,1322.91,1316.21,1320.81,48714,1318.765,0.255,Bullish,Bullish (2018-01-05 12:00:00)
1/5/2018 16:00,1320.81,1322.19,1313.69,1320.68,78672,1320.745,1.98,Bullish,Bullish (2018-01-05 16:00:00)
1/5/2018 20:00,1320.68,1321.43,1318.44,1319.42,22161,1320.05,-0.695,Bearish,Bearish (2018-01-05 20:00:00)
1/8/2018 0:00,1320.79,1322.16,1319.24,1320.88,12201,1320.835,0.785,Bullish,Bullish (2018-01-08 00:00:00)
1/8/2018 4:00,1320.87,1321.79,1317.38,1318.04,15721,1319.455,-1.38,Bearish,Bearish (2018-01-08 04:00:00)
1/8/2018 8:00,1318.05,1318.99,1314.84,1317.16,26558,1317.605,-1.85,Bearish,Bearish (2018-01-08 08:00:00)
1/8/2018 12:00,1317.16,1321.09,1317.04,1320.02,38910,1318.59,0.985,Bullish,Bullish (2018-01-08 12:00:00)
1/8/2018 16:00,1320.03,1320.87,1315.94,1318.19,48641,1319.11,0.52,Bullish,Bullish (2018-01-08 16:00:00)
1/8/2018 20:00,1318.2,1320.67,1317.81,1320.4,18199,1319.3,0.19,Bullish,Bullish (2018-01-08 20:00:00)
1/9/2018 0:00,1320.22,1320.48,1315.72,1317.89,21218,1319.055,-0.245,Bearish,Bearish (2018-01-09 00:00:00)
