date,Time,Actual,Forecast,Previous
12/10/2025,22:00:00,,,
10/29/2025,21:00:00,,,
9/17/2025,21:00:00,,,
7/30/2025,21:00:00,,,
6/18/2025,21:00:00,,,
5/7/2025,21:00:00,0.045,0.045,0.045
3/19/2025,21:00:00,0.045,0.045,0.045
1/29/2025,22:00:00,0.045,0.045,0.045
12/18/2024,22:00:00,0.045,0.045,0.0475
11/7/2024,22:00:00,0.0475,0.0475,0.05
9/18/2024,21:00:00,0.05,0.0525,0.055
7/31/2024,21:00:00,0.055,0.055,0.055
6/12/2024,21:00:00,0.055,0.055,0.055
5/1/2024,21:00:00,0.055,0.055,0.055
3/20/2024,21:00:00,0.055,0.055,0.055
1/31/2024,22:00:00,0.055,0.055,0.055
12/13/2023,22:00:00,0.055,0.055,0.055
11/1/2023,21:00:00,0.055,0.055,0.055
9/20/2023,21:00:00,0.055,0.055,0.055
7/26/2023,21:00:00,0.055,0.055,0.0525
6/14/2023,21:00:00,0.0525,0.0525,0.0525
5/3/2023,21:00:00,0.0525,0.0525,0.05
3/22/2023,21:00:00,0.05,0.05,0.0475
2/1/2023,22:00:00,0.0475,0.0475,0.045
12/14/2022,22:00:00,0.045,0.045,0.04
11/2/2022,21:00:00,0.04,0.04,0.0325
9/21/2022,21:00:00,0.0325,0.0325,0.025
7/27/2022,21:00:00,0.025,0.025,0.0175
6/15/2022,21:00:00,0.0175,0.015,0.01
5/4/2022,21:00:00,0.01,0.01,0.005
3/16/2022,21:00:00,0.005,0.005,0.0025
1/26/2022,22:00:00,0.0025,0.0025,0.0025
12/15/2021,22:00:00,0.0025,0.0025,0.0025
11/3/2021,21:00:00,0.0025,0.0025,0.0025
9/22/2021,21:00:00,0.0025,0.0025,0.0025
7/28/2021,21:00:00,0.0025,0.0025,0.0025
6/16/2021,21:00:00,0.0025,0.0025,0.0025
4/28/2021,21:00:00,0.0025,0.0025,0.0025
3/17/2021,21:00:00,0.0025,0.0025,0.0025
1/27/2021,22:00:00,0.0025,0.0025,0.0025
12/16/2020,22:00:00,0.0025,0.0025,0.0025
11/5/2020,22:00:00,0.0025,0.0025,0.0025
9/16/2020,21:00:00,0.0025,0.0025,0.0025
7/29/2020,21:00:00,0.0025,0.0025,0.0025
6/10/2020,21:00:00,0.0025,0.0025,0.0025
4/29/2020,21:00:00,0.0025,0.0025,0.0025
3/16/2020,0:00:00,0.0025,,0.0125
3/3/2020,18:00:00,0.0125,,0.0175
1/29/2020,22:00:00,0.0175,0.0175,0.0175
12/11/2019,22:00:00,0.0175,0.0175,0.0175
10/30/2019,21:00:00,0.0175,0.0175,0.02
9/18/2019,21:00:00,0.02,0.02,0.0225
7/31/2019,21:00:00,0.0225,0.0225,0.025
6/19/2019,21:00:00,0.025,0.025,0.025
5/1/2019,21:00:00,0.025,0.025,0.025
3/20/2019,21:00:00,0.025,0.025,0.025
1/30/2019,22:00:00,0.025,0.025,0.025
12/19/2018,22:00:00,0.025,0.025,0.0225
11/8/2018,22:00:00,0.0225,0.0225,0.0225
9/26/2018,21:00:00,0.0225,0.0225,0.02
8/1/2018,21:00:00,0.02,0.02,0.02
6/13/2018,21:00:00,0.02,0.02,0.0175
5/2/2018,21:00:00,0.0175,0.0175,0.0175
3/21/2018,21:00:00,0.0175,0.0175,0.015
1/31/2018,22:00:00,0.015,0.015,0.015
