datetime,open,high,low,close,tick_volume,gradient,signal_label,signal_with_time
2018-01-02,1302.96,1318.92,1302.26,1317.38,200996,,Neutral,Neutral (2018-01-02 00:00:00)
2018-01-03,1317.48,1321.46,1307.46,1313.1,203751,-4.2800000000002,Bearish,Bearish (2018-01-03 00:00:00)
2018-01-04,1312.88,1326.01,1305.9,1322.7,216293,9.600000000000136,Bullish,Bullish (2018-01-04 00:00:00)
2018-01-05,1322.63,1323.45,1313.69,1319.42,213603,-3.2799999999999727,Bearish,Bearish (2018-01-05 00:00:00)
2018-01-08,1320.79,1322.16,1314.84,1320.4,160230,0.9800000000000182,Bullish,Bullish (2018-01-08 00:00:00)
2018-01-09,1320.22,1320.48,1308.84,1312.77,217551,-7.630000000000109,Bearish,Bearish (2018-01-09 00:00:00)
2018-01-10,1312.3,1327.74,1308.25,1316.62,276465,3.849999999999909,Bullish,Bullish (2018-01-10 00:00:00)
2018-01-11,1316.75,1323.98,1315.72,1322.35,235408,5.730000000000018,Bullish,Bullish (2018-01-11 00:00:00)
2018-01-12,1322.64,1339.39,1321.58,1337.74,256215,15.3900000000001,Bullish,Bullish (2018-01-12 00:00:00)
2018-01-15,1336.27,1344.76,1335.88,1339.86,161751,2.119999999999891,Bullish,Bullish (2018-01-15 00:00:00)
2018-01-16,1340.39,1342.31,1331.92,1338.39,247744,-1.4699999999998,Bearish,Bearish (2018-01-16 00:00:00)
2018-01-17,1338.39,1343.99,1325.75,1326.1,288184,-12.290000000000191,Bearish,Bearish (2018-01-17 00:00:00)
2018-01-18,1326.79,1333.14,1324.21,1326.8,271058,0.7000000000000455,Bullish,Bullish (2018-01-18 00:00:00)
2018-01-19,1326.6,1338.09,1326.31,1331.61,252226,4.809999999999945,Bullish,Bullish (2018-01-19 00:00:00)
2018-01-22,1334.72,1335.67,1328.41,1333.83,202212,2.2200000000000273,Bullish,Bullish (2018-01-22 00:00:00)
2018-01-23,1333.75,1341.8,1331.38,1341.14,237734,7.310000000000173,Bullish,Bullish (2018-01-23 00:00:00)
2018-01-24,1341.48,1362.14,1339.52,1358.4,278652,17.25999999999999,Bullish,Bullish (2018-01-24 00:00:00)
2018-01-25,1357.49,1366.08,1342.49,1348.27,375004,-10.13000000000011,Bearish,Bearish (2018-01-25 00:00:00)
2018-01-26,1347.15,1357.15,1344.63,1350.24,328103,1.9700000000000273,Bullish,Bullish (2018-01-26 00:00:00)
2018-01-29,1349.68,1352.41,1337.62,1340.32,251784,-9.920000000000073,Bearish,Bearish (2018-01-29 00:00:00)
2018-01-30,1340.7,1348.97,1334.47,1338.52,303221,-1.7999999999999545,Bearish,Bearish (2018-01-30 00:00:00)
2018-01-31,1338.15,1347.58,1332.71,1345.04,318961,6.519999999999982,Bullish,Bullish (2018-01-31 00:00:00)
2018-02-01,1344.73,1351.11,1337.28,1348.79,312197,3.75,Bullish,Bullish (2018-02-01 00:00:00)
2018-02-02,1349.07,1350.08,1327.48,1332.85,352705,-15.940000000000055,Bearish,Bearish (2018-02-02 00:00:00)
2018-02-05,1331.56,1341.62,1329.02,1339.53,377991,6.680000000000064,Bullish,Bullish (2018-02-05 00:00:00)
2018-02-06,1339.68,1346.12,1320.25,1324.34,555616,-15.190000000000055,Bearish,Bearish (2018-02-06 00:00:00)
2018-02-07,1323.77,1332.33,1311.45,1318.42,410940,-5.919999999999845,Bearish,Bearish (2018-02-07 00:00:00)
2018-02-08,1318.0,1322.18,1307.08,1318.83,433793,0.4099999999998545,Bullish,Bullish (2018-02-08 00:00:00)
2018-02-09,1318.24,1322.7,1311.16,1315.97,448403,-2.8599999999999,Bearish,Bearish (2018-02-09 00:00:00)
2018-02-12,1314.91,1326.81,1314.18,1322.52,289971,6.5499999999999545,Bullish,Bullish (2018-02-12 00:00:00)
2018-02-13,1322.47,1331.08,1321.63,1329.36,318416,6.839999999999918,Bullish,Bullish (2018-02-13 00:00:00)
2018-02-14,1329.42,1355.54,1317.02,1350.42,421799,21.060000000000173,Bullish,Bullish (2018-02-14 00:00:00)
2018-02-15,1349.98,1357.16,1348.59,1353.23,339146,2.8099999999999454,Bullish,Bullish (2018-02-15 00:00:00)
2018-02-16,1353.61,1361.76,1344.78,1347.65,323774,-5.579999999999927,Bearish,Bearish (2018-02-16 00:00:00)
2018-02-19,1347.51,1351.4,1345.83,1346.68,163487,-0.9700000000000273,Bearish,Bearish (2018-02-19 00:00:00)
2018-02-20,1346.66,1348.2,1328.51,1329.44,291123,-17.24000000000001,Bearish,Bearish (2018-02-20 00:00:00)
2018-02-21,1328.88,1336.25,1322.4,1324.41,332533,-5.029999999999973,Bearish,Bearish (2018-02-21 00:00:00)
2018-02-22,1323.66,1332.14,1320.97,1331.93,303338,7.519999999999982,Bullish,Bullish (2018-02-22 00:00:00)
2018-02-23,1331.3,1332.17,1325.84,1328.89,247816,-3.0399999999999636,Bearish,Bearish (2018-02-23 00:00:00)
2018-02-26,1328.2,1341.06,1326.6,1333.26,271228,4.369999999999891,Bullish,Bullish (2018-02-26 00:00:00)
2018-02-27,1332.55,1336.74,1313.45,1318.46,321179,-14.799999999999955,Bearish,Bearish (2018-02-27 00:00:00)
2018-02-28,1317.75,1322.57,1315.64,1318.07,290715,-0.39000000000010004,Bearish,Bearish (2018-02-28 00:00:00)
2018-03-01,1318.0,1321.18,1302.82,1316.96,411354,-1.1099999999999,Bearish,Bearish (2018-03-01 00:00:00)
2018-03-02,1317.11,1325.48,1315.25,1322.4,347322,5.440000000000055,Bullish,Bullish (2018-03-02 00:00:00)
2018-03-05,1323.58,1327.8,1317.55,1320.3,335910,-2.1000000000001364,Bearish,Bearish (2018-03-05 00:00:00)
2018-03-06,1319.76,1338.49,1319.64,1334.62,338852,14.319999999999936,Bullish,Bullish (2018-03-06 00:00:00)
2018-03-07,1337.66,1340.48,1322.21,1325.52,360134,-9.099999999999909,Bearish,Bearish (2018-03-07 00:00:00)
2018-03-08,1325.01,1329.06,1319.05,1321.91,306521,-3.6099999999999,Bearish,Bearish (2018-03-08 00:00:00)
2018-03-09,1321.71,1325.17,1312.83,1323.37,314885,1.459999999999809,Bullish,Bullish (2018-03-09 00:00:00)
2018-03-12,1323.44,1324.28,1315.1,1323.02,232495,-0.34999999999990905,Bearish,Bearish (2018-03-12 00:00:00)
2018-03-13,1322.79,1328.34,1313.81,1326.38,291306,3.3600000000001273,Bullish,Bullish (2018-03-13 00:00:00)
2018-03-14,1326.3,1330.04,1321.46,1324.93,277419,-1.4500000000000455,Bearish,Bearish (2018-03-14 00:00:00)
2018-03-15,1324.33,1327.92,1314.96,1316.12,256412,-8.810000000000173,Bearish,Bearish (2018-03-15 00:00:00)
2018-03-16,1316.18,1321.77,1309.66,1313.77,255003,-2.349999999999909,Bearish,Bearish (2018-03-16 00:00:00)
2018-03-19,1313.34,1319.65,1307.79,1316.88,263894,3.1100000000001273,Bullish,Bullish (2018-03-19 00:00:00)
2018-03-20,1316.61,1318.28,1307.22,1311.13,253059,-5.75,Bearish,Bearish (2018-03-20 00:00:00)
2018-03-21,1310.72,1336.65,1309.85,1332.05,304221,20.919999999999845,Bullish,Bullish (2018-03-21 00:00:00)
2018-03-22,1331.73,1334.9,1324.8,1328.92,357326,-3.1299999999998818,Bearish,Bearish (2018-03-22 00:00:00)
