Release Date,Time,Actual,Forecast,Previous
"May 02, 2025 (Apr)",15:30:00,177K,138K,185K
"Apr 04, 2025 (Mar)",15:30:00,228K,137K,117K
"Mar 07, 2025 (Feb)",16:30:00,151K,159K,125K
"Feb 07, 2025 (Jan)",16:30:00,143K,169K,307K
"Jan 10, 2025 (Dec)",16:30:00,256K,164K,212K
"Dec 06, 2024 (Nov)",16:30:00,227K,202K,36K
"Nov 01, 2024 (Oct)",15:30:00,12K,106K,223K
"Oct 04, 2024 (Sep)",15:30:00,254K,147K,159K
"Sep 06, 2024 (Aug)",15:30:00,142K,164K,89K
"Aug 02, 2024 (Jul)",15:30:00,114K,176K,179K
"Jul 05, 2024 (Jun)",15:30:00,206K,191K,218K
"Jun 07, 2024 (May)",15:30:00,272K,182K,165K
"May 03, 2024 (Apr)",15:30:00,175K,238K,315K
"Apr 05, 2024 (Mar)",15:30:00,303K,212K,270K
"Mar 08, 2024 (Feb)",16:30:00,275K,198K,229K
"Feb 02, 2024 (Jan)",16:30:00,353K,187K,333K
"Jan 05, 2024 (Dec)",16:30:00,216K,170K,173K
"Dec 08, 2023 (Nov)",16:30:00,199K,180K,150K
"Nov 03, 2023 (Oct)",15:30:00,150K,180K,297K
"Oct 06, 2023 (Sep)",15:30:00,336K,170K,227K
"Sep 01, 2023 (Aug)",15:30:00,187K,170K,157K
"Aug 04, 2023 (Jul)",15:30:00,187K,200K,185K
"Jul 07, 2023 (Jun)",15:30:00,209K,225K,306K
"Jun 02, 2023 (May)",15:30:00,339K,180K,294K
"May 05, 2023 (Apr)",15:30:00,253K,180K,165K
"Apr 07, 2023 (Mar)",15:30:00,236K,239K,326K
"Mar 10, 2023 (Feb)",16:30:00,311K,205K,504K
"Feb 03, 2023 (Jan)",16:30:00,517K,185K,260K
"Jan 06, 2023 (Dec)",16:30:00,223K,200K,256K
"Dec 02, 2022 (Nov)",16:30:00,263K,200K,284K
"Nov 04, 2022 (Oct)",15:30:00,261K,200K,315K
"Oct 07, 2022 (Sep)",15:30:00,263K,250K,315K
"Sep 02, 2022 (Aug)",15:30:00,315K,300K,526K
"Aug 05, 2022 (Jul)",15:30:00,528K,250K,398K
"Jul 08, 2022 (Jun)",15:30:00,372K,268K,384K
"Jun 03, 2022 (May)",15:30:00,390K,325K,436K
"May 06, 2022 (Apr)",15:30:00,428K,391K,428K
"Apr 01, 2022 (Mar)",15:30:00,431K,490K,750K
"Mar 04, 2022 (Feb)",16:30:00,678K,400K,481K
"Feb 04, 2022 (Jan)",16:30:00,467K,150K,510K
"Jan 07, 2022 (Dec)",16:30:00,199K,400K,249K
"Dec 03, 2021 (Nov)",16:30:00,210K,550K,546K
"Nov 05, 2021 (Oct)",15:30:00,531K,450K,312K
"Oct 08, 2021 (Sep)",15:30:00,194K,500K,366K
"Sep 03, 2021 (Aug)",15:30:00,235K,750K,"1,053K"
"Aug 06, 2021 (Jul)",15:30:00,943K,870K,938K
"Jul 02, 2021 (Jun)",15:30:00,850K,700K,583K
"Jun 04, 2021 (May)",15:30:00,559K,650K,278K
"May 07, 2021 (Apr)",15:30:00,266K,978K,770K
"Apr 02, 2021 (Mar)",15:30:00,916K,647K,468K
"Mar 05, 2021 (Feb)",16:30:00,379K,182K,166K
